ID,disparity
ABPLPPPAAPAP,11.7
ABPRPPPAAPAP,11.7
ABPLPPPAAPAA,12.8
ABPRPPPAAPAA,13.6
ABPLAPAPPPPAP,17.2
ABPRAPAPPPPAP,17.6
ABPLPPPAPAA,13.8
ABPRPPPAPAA,15.4
ABPLAPAPPPPAA,15.7
ABPRAPAPPPPAA,15.9
CAAPPV,15.3
ABPRPPPPAPP,13
CAAPAA,16.1
ABPRPPPAAAA,13.2
ABPLPPPPAPA,10.4
ABPRPPPPAPA,11.7
ABPLPPPPAPP,12.2
ABPLPAPPPAA,12
ABPLPAPPPAP,11.8
ABPLPAPPPPP,11.5
ABPLPPPPAAP,12
ABPRPPPPAAP,12.3
ABPLAPPPPP,12.5
ABPRAPPPPP,11.9
ABARAAPAAAP,12.5
ABARAAPPAAP,12.8
ABARAAAAAAP,15.1
ABALPAAAAPA,13
ABARAAAAAPP,11.3
ABARAPAAAPA,12.4
ABARAAPAAPA,13.7
ABARAAPPAPA,14.6
ABALPAAAAAP,12.1
ABALPAAAPAA,13.9
ABARAPAAAAP,13.1
ABARAPAAPAA,12.1
MSAAAPAAA,16.4
MSPAAAAPA,16.6
ABALPAAPAPP,14.8
ABALPAPPPPP,15
ABARAPAAPPA,13.6
ABARAPAPPPP,14.2
MSAAAAAPP,14.3
MSPAAAAPP,16.7
MSAAAPAAP,16
MSAAPAAAA,16.6
ABARAAAPAPP,11.3
MSPAPAAAA,17.6
MSAAAAPAP,15.3
MSPAAAPPA,16.5
ABARAAPAPAP,13.8
MSAAPAAAP,17.2
ABARAAPPPAP,13.8
MSPAPAAAP,17
MSPAAAPPP,11
MSAAPAPPA,13.1
MSPAPAPPA,12.7
MSAAAAPPP,13.1
MSAAPAAPP,13.5
MSPAPAAPP,13.9
MSAAAPAPP,13.1
ABALPAAPAPA,14.6
ABARAAAPAPA,11.6
ABALPAPPPPA,13.9
ABARAAPAAPP,12.5
ABARAAPPAPP,12.6
ABARAPAPPPA,15.3
MSAAAPAPA,12.9
MSPAAPAPA,12.6
ABALPAPPAPP,17.5
MSPAAPAPP,13.3
MSAAPAPPP,12.4
MSPAPAPPP,14.3
MSAAPPAA,12.4
MSAAAPPP,12.4
MSAAPPAP,10.9
ABARAAAAPAP,16.4
ABARAAAAAAA,14.6
ABARAAAAAPA,13.4
ABALPAPPAPA,14.3
ABALPAAPAAP,13.6
ABARAAAPAAP,14.8
ABARAAPAAAA,14.2
ABALPAAAAAA,13.6
ABARAPAAAAA,12.8
ABALPAPPPAA,13.1
ABARAPAPPAA,12.7
