"cell","x1","y1","z1","Xnorm","Ynorm","Znorm"
"x_00065",-1.54358,6.49652,-15.6324,-0.0386235542381824,-0.349179795053233,-0.447677345798821
"x_00066",0.748921,4.29479,-15.5217,0.0145980891432999,-0.400294140862597,-0.445107385775977
"x_00067",7.02059,-6.31597,9.32905,0.160198257223793,-0.646628639615922,0.131816137599748
"x_00068",-9.65389,-1.15718,22.0934,-0.226908761761874,-0.526864555909979,0.428147386177796
"x_00069",1.0001,1.3013,-15.5355,0.0204293446860096,-0.469789620797407,-0.445427760196169
"x_00070",-12.4288,-0.787167,-15.0096,-0.291329789467297,-0.518274505160814,-0.433218708922332
"x_00071",-12.1948,0.855769,-14.6306,-0.28589735364665,-0.480132862522229,-0.424420020135901
"x_00072",2.90921,-5.32192,-15.4433,0.0647503598550419,-0.623551234370139,-0.443287287620683
"x_00073",-4.2318,4.16298,18.3222,-0.10103202698082,-0.403354180886184,0.340596950422154
"x_00074",-2.25329,8.03359,-0.477365,-0.0550998534957495,-0.313495888528274,-0.0958450594862376
"x_00075",9.99753,3.42038,-14.7265,0.22930952000975,-0.420594039178541,-0.426646390200858
"x_00076",-9.8148,-3.71637,-16.0971,-0.230644373932387,-0.586277527823822,-0.458465606165719
"x_00077",-0.0517173,-6.18532,-16.1777,-0.00398915949046566,-0.643595529616061,-0.460336778503942
"x_00078",11.2042,2.94716,-13.8555,0.257323012880259,-0.431580095926602,-0.406425656868453
"x_00079",-13.566,-0.699631,-15.0725,-0.317730498934128,-0.516242309853138,-0.434678966243352
"x_00080",12.9451,1.96316,-14.434,0.297738942453603,-0.454424185018549,-0.419855845425051
"x_00081",-6.67673,-5.5671,-15.7882,-0.157792391557624,-0.629243219902216,-0.451294326571713
"x_00082",-7.50625,4.73768,-14.7962,-0.177050144386437,-0.390012211372828,-0.428264513178205
"x_00083",8.34868,6.16578,-6.40699,0.191030580681236,-0.3568581019905,-0.233504492191358
"x_00084",-5.62005,5.26805,-15.511,-0.133260997185999,-0.377699386645494,-0.44485897952264
"x_00085",-1.84779,-7.91804,1.63029,-0.0456859529603992,-0.683821556091061,-0.0469147153855379
"x_00086",-1.12222,-6.8082,-15.2459,-0.0288414552749883,-0.658056023735566,-0.438704540479677
"x_00087",10.083,3.50253,-14.2783,0.231293752016548,-0.418686882756892,-0.416241186205929
"x_00088",4.13977,0.302887,-15.2859,0.0933184719210855,-0.492968315434154,-0.43963316198748
"x_00089",-7.18969,2.80208,-15.4904,-0.169701033773686,-0.434948206135402,-0.444380739446121
"x_00090",-7.61219,-3.67727,-16.1067,-0.179509598449852,-0.585369800299945,-0.458688475327592
"x_00091",6.04757,-4.98402,-15.2898,0.137609074735737,-0.615706704182976,-0.43972370258449
"x_00092",3.11303,2.39051,-15.3569,0.0694821507480508,-0.444503024984562,-0.441281465163829
"x_00093",9.51417,4.25636,-14.1758,0.218088057709462,-0.401186313976218,-0.413861593592184
"x_00094",-4.38581,4.5976,16.9655,-0.104607451941237,-0.393264243893153,0.309100430431254
"x_00095",-15.3879,-4.38649,6.49428,-0.360026887060774,-0.601834723944041,0.0660054278078986
"x_00096",-2.12627,-4.23744,15.6235,-0.0521510158977219,-0.598374448050591,0.277945178844472
"x_00097",11.4603,-2.13621,-14.5289,0.263268512083966,-0.549593263779582,-0.422058999952313
"x_00098",-9.34203,1.02091,-15.5097,-0.21966876417629,-0.476299025411728,-0.444828799323636
"x_00099",-5.26956,-2.40583,21.6806,-0.125124183379254,-0.555852637052927,0.418564012217272
"x_00100",3.58024,-7.15864,5.94369,0.0803286821145637,-0.666191676765426,0.0532231849083708
"x_00101",-12.5881,0.954076,-15.4391,-0.295028024622121,-0.47785061265804,-0.443189782362364
"x_00102",-8.9699,3.68165,-15.0404,-0.211029566133824,-0.414528515644951,-0.43393374748334
"x_00103",-11.8003,-2.84504,-15.274,-0.276738824025946,-0.566049133363978,-0.439356897088908
"x_00104",-6.72946,3.49055,-15.4868,-0.159016546860285,-0.418965004898478,-0.444297163510419
"x_00105",11.7227,-1.35506,-14.4939,0.269360269175152,-0.53145844650908,-0.421246456132985
"x_00106",2.28386,3.71416,-15.4217,0.0502325233574308,-0.413773778514484,-0.44278583200647
"x_00107",10.7385,3.42565,-13.8877,0.246511536975665,-0.420471693294888,-0.407173197182235
"x_00108",-11.1719,-3.89026,-16.1111,-0.262150180138365,-0.590314477673617,-0.45879062369345
"x_00109",2.89938,0.901727,-15.3947,0.0645221511194994,-0.479065922840839,-0.442159012488703
"x_00110",12.2266,-2.02432,-14.4496,0.281058578619697,-0.546995677266881,-0.420218007813094
"x_00111",11.2058,-2.37529,-13.9826,0.257360157740571,-0.555143634531719,-0.409376351709497
"x_00112",-12.0498,2.03864,-15.3323,-0.282531100680866,-0.452671876233325,-0.440710362936531
"x_00113",1.0114,-2.10058,-15.6859,0.0206916802619639,-0.548766094171507,-0.448919377065507
"x_00114",2.17685,-5.38241,-15.8463,0.0477482286686815,-0.624955542245314,-0.452643149311796
"x_00115",3.25262,8.15617,-2.69976,0.0727228076549054,-0.310650127917613,-0.147439154382069
"x_00116",5.06977,-5.67783,-14.7019,0.114908921977499,-0.631813876391191,-0.42607528797356
"x_00117",10.6131,-2.25909,-14.6246,0.243600308548704,-0.552445989051552,-0.424280726909731
"x_00118",-5.22554,4.69168,-15.5285,-0.124102235409917,-0.391080126106801,-0.445265251432303
"x_00119",11.2611,3.41686,-14.6106,0.258643976975108,-0.420675757871228,-0.423955709382
"x_00120",12.5282,-0.200277,-13.7954,0.288060384788529,-0.504649538242955,-0.40503040305298
"x_00121",2.81791,-8.06085,-8.816,0.0626307812634821,-0.687136967029293,-0.289430954654156
"x_00122",-20.3204,-1.25328,12.7847,-0.474537526741699,-0.529095569082475,0.212040910435712
"x_00123",13.3263,-4.85303,10.5837,0.306588705422964,-0.612665700900299,0.160943511968866
"x_00124",7.75184,1.29839,-14.9048,0.177174619163312,-0.4698571780121,-0.430785720571889
"x_00125",7.82287,-0.987893,-14.9022,0.178823618805792,-0.522934467180194,-0.430725360173882
"x_00126",5.70641,-1.49313,-15.1554,0.129688861895688,-0.534663815798638,-0.436603534318273
"x_00127",-1.32747,7.1738,-15.6533,-0.0336064443869011,-0.333456375683117,-0.448162550536648
"x_00128",12.6977,0.923584,-13.8724,0.291995418427843,-0.478558500833438,-0.4068179994555
"x_00129",12.2502,0.91203,-13.1145,0.2816064653093,-0.478826733155967,-0.389222943436408
"x_00130",-0.726039,6.58455,-15.6284,-0.0196439003354184,-0.347136131269936,-0.447584483648041
"x_00131",2.48792,-1.06683,-15.4958,0.0549698859794865,-0.52476703207923,-0.444506103349674
"x_00132",-1.41907,-3.02228,-15.9309,-0.0357329876397694,-0.570163855265052,-0.454607183800799
"x_00133",15.7177,1.49244,18.9251,0.362106342266951,-0.465352202922372,0.354593598098511
"x_00134",-4.76448,-6.33213,-16.4848,-0.113398479600229,-0.647003802705074,-0.467466270130097
"x_00135",-12.2386,-0.435954,-12.6472,-0.286914194197694,-0.510120906520316,-0.378374322671502
"x_00136",-5.0471,6.717,8.7434,-0.119959654863609,-0.344061233302225,0.118219957948631
"x_00137",-0.586741,-8.45928,-11.5072,-0.0164100223655707,-0.69638673371314,-0.351908609699124
"x_00138",6.48221,0.396997,-15.0403,0.147699476039522,-0.490783501181671,-0.433931425929571
"x_00139",-10.6118,2.05168,-15.3911,-0.249147157475357,-0.452369145621782,-0.442075436553001
"x_00140",-10.3425,-3.6429,-16.0793,-0.242895213174075,-0.584571882269365,-0.458052369594747
"x_00141",5.26018,-5.25829,-15.4168,0.119329392510017,-0.622074029706602,-0.442672075871764
"x_00142",-7.1157,2.0132,22.0962,-0.167983316139628,-0.453262479512288,0.428212389683343
"x_00143",3.50205,-5.67341,11.8402,0.0785134592221863,-0.631711263714579,0.19011383508272
"x_00144",-10.8987,-3.95649,17.3446,-0.255807695240072,-0.591852042735162,0.317901440771455
"x_00145",2.11258,6.846,-15.5184,0.0462561660610194,-0.341066428939561,-0.445030774501583
"x_00146",8.2596,-0.325343,-14.8459,0.18896254058336,-0.507553012680327,-0.429418325401649
"x_00147",-6.17437,4.79375,-15.4901,-0.146129834041129,-0.388710516174265,-0.444373774784813
"x_00148",2.45059,-6.00802,-15.874,0.0541032499573296,-0.639479414782726,-0.453286219705949
"x_00149",8.95512,-3.8514,-14.861,0.205109411361034,-0.589412321878787,-0.429768880020845
"x_00150",1.4345,2.05503,-15.4891,0.0305141742607474,-0.452291373570503,-0.444350559247118
"x_00151",-1.48978,0.132598,-15.703,-0.0373745583101877,-0.496921666132709,-0.449316362760093
"x_00152",-4.73953,1.65816,22.5327,-0.112819251934737,-0.461504924015545,0.43834597188724
"x_00153",5.03054,-3.98294,-15.3623,0.113998176433722,-0.592466093707196,-0.441406829067383
"x_00154",-5.30537,0.280552,-15.6898,-0.125955531784114,-0.493486834468573,-0.449009917662518
"x_00155",2.51427,-6.97998,6.8826,0.0555816153977515,-0.662043988800825,0.0750204854056476
"x_00156",-9.43272,-4.93055,-15.8359,-0.221774181289856,-0.61446536938242,-0.452401707719767
"x_00157",-9.01914,-4.57185,-16.248,-0.212172699209929,-0.606137956011199,-0.461968830803905
"x_00158",-2.03195,2.89085,-15.6117,-0.049961326382323,-0.432887362854211,-0.447196784168533
"x_00159",12.1927,2.31249,-14.5037,0.280271571891834,-0.446314301235531,-0.421473968402397
"x_00160",-4.74102,2.46301,-15.5855,-0.112853843085902,-0.442819898501669,-0.446588537080922
"x_00161",-3.83027,-4.93722,-16.2519,-0.0917102921301187,-0.614620217018846,-0.462059371400916
"x_00162",8.94938,4.49131,-14.2524,0.204976154174664,-0.395731823394762,-0.415639903779626
"x_00163",-2.89184,-4.17291,16.0232,-0.0699241350909355,-0.596876349403129,0.287224429261191
"x_00164",-2.49543,4.95831,15.1882,-0.0607212637932334,-0.384890167291165,0.267839455285809
"x_00165",-8.70893,4.00062,-15.3811,-0.204971007261542,-0.407123455586355,-0.44184328117605
"x_00166",-0.70734,5.62234,11.9785,-0.0192097929960583,-0.369474353795508,0.193324543945948
"x_00167",-7.24226,3.76139,-15.459,-0.170921474590316,-0.412677308669146,-0.443651771562496
"x_00168",5.0738,-7.18383,-8.5237,0.11500248059441,-0.666776476159964,-0.282645052985887
"x_00169",7.84736,3.56405,-14.9407,0.179392167323945,-0.417258662877891,-0.431619158375142
"x_00170",-8.66003,-5.40301,-10.4423,-0.203835767468253,-0.625433782321832,-0.327186383607646
"x_00171",4.08457,1.15622,-15.2804,0.0920369742403177,-0.473157731006208,-0.439505476530157
"x_00172",-13.3481,-0.487759,-15.6025,-0.312671833270373,-0.511323587450609,-0.446983201221738
"x_00173",-6.37325,-0.538778,-15.7274,-0.150746940177924,-0.512508020968274,-0.449882821879852
"x_00174",-7.39846,-5.41644,-15.6124,-0.174547741578285,-0.625745566993077,-0.447213035044919
"x_00175",-1.55494,-6.64545,-16.369,-0.0388872827463984,-0.654277694975693,-0.464777910865008
"x_00176",-0.201144,-1.611,-15.7422,-0.00745818067696536,-0.537400231226755,-0.450226411837739
"x_00177",2.89592,7.59423,2.77166,0.0644418253590744,-0.32369586716998,-0.0204171971265175
"x_00178",-10.5007,-3.99596,-16.1364,-0.246567911237435,-0.592768360007986,-0.459377976797135
"x_00179",-11.9333,-1.61778,-14.4725,-0.27982649053939,-0.537557632572328,-0.420749643626311
"x_00180",14.9392,3.36934,-1.01093,0.34403304617134,-0.421778960222498,-0.108232057856507
"x_00181",-0.427825,7.76936,-12.7694,-0.0127207019772212,-0.319630130053442,-0.38121126137784
"x_00182",-9.0904,-4.24869,-16.1929,-0.21382703842608,-0.598635622849661,-0.460689654676907
"x_00183",-10.032,-0.436874,-15.6197,-0.235686788719756,-0.510142264814995,-0.447382508470093
"x_00184",-4.10362,7.585,-0.660755,-0.0980562593590657,-0.323910146582905,-0.100102556944136
"x_00185",-11.4671,2.16283,-13.7282,-0.269003406865949,-0.449788738606975,-0.403470318919871
"x_00186",-5.53683,3.85807,-15.5255,-0.131329000139015,-0.410432830484787,-0.445195604819218
"x_00187",12.2796,1.6743,-13.9492,0.282289002117535,-0.461130225237147,-0.408600952750481
"x_00188",11.5039,0.592888,-14.5274,0.264280709527471,-0.486235786287046,-0.42202417664577
"x_00189",-1.52065,-1.11385,-15.7771,-0.0380912219588345,-0.525858626661652,-0.451036634103297
"x_00190",10.2114,-3.05831,-14.6897,0.234274627056595,-0.571000311088205,-0.42579205841368
"x_00191",-7.7812,-5.14838,-16.3521,-0.183433256475696,-0.619522409958537,-0.464385568277962
"x_00192",-6.70746,5.45266,-15.459,-0.158505805030993,-0.373413566231607,-0.443651771562496
"x_00193",2.26502,1.60757,-15.4353,0.0497951426272557,-0.462679398067539,-0.443101563319123
"x_00194",-5.81471,0.850528,-15.6375,-0.137780133753721,-0.480254535155289,-0.447795745041066
"x_00195",13.095,1.08616,-14.4056,0.301218951554094,-0.474784211577124,-0.419196524154511
"x_00196",0.264147,-2.26693,-15.7581,0.00334380007271079,-0.552627998867082,-0.450595538887091
"x_00197",12.8331,4.96258,11.3548,0.295138802231756,-0.384791036945207,0.178845013085533
"x_00198",12.1838,-0.825448,-13.1789,0.280064953606348,-0.519163219159319,-0.39071802406397
"x_00199",12.6449,-1.25508,-14.4092,0.290769638037544,-0.529137357050327,-0.419280100090213
"x_00200",0.574869,-8.31251,-1.30206,0.0105573783763979,-0.692979389245634,-0.114990797345672
"x_00201",6.76751,-6.98123,-1.37215,0.154322868943925,-0.662073008222943,-0.116617974382719
"x_00202",13.0812,0.25136,-14.3918,0.300898577133902,-0.494164542444968,-0.418876149734319
"x_00203",-7.48848,-5.6481,-13.5351,-0.176637604281595,-0.631123678455517,-0.398987398590954
"x_00204",7.35863,0.791894,-14.9449,0.168046037586234,-0.481615754992501,-0.431716663633461
"x_00205",-9.74176,3.60223,-14.6148,-0.22894871105914,-0.416372293648693,-0.424053214640319
"x_00206",-7.99108,1.84636,-15.5045,-0.188305733527137,-0.457135759821333,-0.444708078527622
"x_00207",-6.9679,4.35454,-15.4595,-0.164552059668297,-0.398907012485316,-0.443663379331343
"x_00208",9.87137,-3.36047,-14.0795,0.22638064777414,-0.578015117958147,-0.411625937312149
"x_00209",-3.43295,-2.69982,-15.9693,-0.0824862946931141,-0.5626777729799,-0.455498660448289
"x_00210",-7.67792,5.50516,13.9202,-0.181035555742549,-0.372194750502616,0.238402153488462
"x_00211",7.81525,-4.54933,-14.5714,0.178646716408556,-0.605615142102306,-0.423045660304353
"x_00212",-16.2949,-3.76143,4.54073,-0.381083379750201,-0.587323619952362,0.0206527141436975
"x_00213",0.900384,-0.228528,-15.5933,0.0181143841292081,-0.505305400398379,-0.446769618274944
"x_00214",14.2552,5.00737,8.16158,0.328153618387913,-0.383751213011845,0.104712693806886
"x_00215",-4.07242,-6.65222,6.60228,-0.0973319345829796,-0.654434864165889,0.068512705878966
"x_00216",-4.6544,6.02406,-14.8598,-0.110842913210756,-0.360148207992645,-0.429741021375611
"x_00217",-20.9311,1.33258,7.6763,-0.488715255612078,-0.469063438778306,0.0934466576742236
"x_00218",5.03049,1.24038,-15.1883,0.113997015656837,-0.471203911353791,-0.437367325508441
"x_00219",-6.36075,-6.00136,-16.0269,-0.150456745956736,-0.639324799301677,-0.456835875419525
"x_00220",8.61418,-3.21327,-14.8767,0.197194305939277,-0.574597790809433,-0.430133363962658
"x_00221",-7.34185,-6.25756,6.97046,-0.173233509989368,-0.645272620059153,0.0770602025475364
"x_00222",-15.0651,4.53967,6.42799,-0.352532911492806,-0.394609119991828,0.0644664698140926
"x_00223",17.542,-1.40197,17.0289,0.404458447684064,-0.532547487382355,0.310572295521122
"x_00224",-10.8722,-3.37298,-14.5671,-0.255192483491153,-0.578305544334712,-0.422945833492264
"x_00225",9.43154,3.12043,-14.7722,0.216169757829718,-0.427557539710177,-0.427707340273523
"x_00226",-3.65138,7.2502,-11.9539,-0.0875572645918479,-0.331682708603214,-0.362278990387511
"x_00227",11.7143,1.7103,-14.5318,0.269165258658513,-0.460294465880124,-0.422126325011628
"x_00228",3.95061,6.8216,6.07357,0.0889270208106863,-0.34163288805932,0.0562384189442064
"x_00229",10.4002,4.97586,-5.58395,0.238657720573423,-0.384482734604616,-0.214397176046809
"x_00230",1.04595,-8.62749,-7.67508,0.0214937770893285,-0.700291819308827,-0.262943883387098
"x_00231",5.54713,-7.31975,-1.50006,0.125991091051617,-0.669931932043478,-0.119587473809296
"x_00232",14.3566,3.48483,17.8081,0.330507673910193,-0.419097797774094,0.328661842493119
"x_00233",5.81518,-5.18381,-14.8811,0.13221401593078,-0.620344936459073,-0.430235512328516
"x_00234",8.10611,4.65695,-14.4583,0.185399187702544,-0.39188640173095,-0.420419982991041
"x_00235",-4.29256,-7.52238,1.25376,-0.102442603051172,-0.67463609644663,-0.055656061793862
"x_00236",-7.48882,-6.0722,7.80761,-0.176645497564412,-0.640969387991995,0.096495089928963
"x_00237",-6.16658,-6.38013,-16.5384,-0.145948985002484,-0.648118148514438,-0.468710622950553
"x_00238",-4.50725,6.31792,-15.5588,-0.107426746838926,-0.353326090085572,-0.445968682224464
"x_00239",-8.35849,-5.70384,-9.39377,-0.196835354231682,-0.63241771252664,-0.302844195868235
"x_00240",-4.93627,-6.42155,-14.7548,-0.117386676820865,-0.649079736085767,-0.427303389917629
"x_00241",10.7224,-0.215142,-14.5882,0.246137766818775,-0.504994637210792,-0.42343568133763
"x_00242",2.82324,6.97138,5.41516,0.0627545200793969,-0.338155664823353,0.0409530767703963
"x_00243",-3.41121,0.950889,-15.6827,-0.0819815889036233,-0.477924600576674,-0.448845087344883
"x_00244",4.26483,6.89996,-12.79,0.0962218070652307,-0.339813718525535,-0.381689501454358
"x_00245",-1.25703,2.68535,-15.603,-0.0319711419116605,-0.437658155850548,-0.446994808990586
"x_00246",9.44704,2.23895,-14.7467,0.216529598663992,-0.448021571877626,-0.427115344062299
"x_00247",0.802911,8.41781,-0.320587,0.0158514960234567,-0.304576014635075,-0.0922053739174801
"x_00248",1.27269,-2.62119,-15.7002,0.0267576681063083,-0.560852335250937,-0.449251359254547
"x_00249",14.7986,3.96622,15.8375,0.340768941571413,-0.407922070083065,0.282913303911217
"x_00250",8.38751,-4.82904,15.0042,0.191932040009936,-0.612108760150994,0.263567796349916
"x_00251",6.27747,-5.33299,-14.1495,0.142946326851834,-0.623808230372424,-0.413251024950804
"x_00252",9.25057,-4.31209,-14.84,0.211968441973042,-0.600107487939528,-0.429281353729249
"x_00253",-0.594025,1.45237,-15.6173,-0.0165791243421416,-0.466282449517813,-0.447326791179625
"x_00254",3.31639,0.7324,-15.3594,0.0742032624937199,-0.482996940192132,-0.441339504008067
"x_00255",-6.46237,-3.17628,19.5708,-0.152815908897309,-0.573739048070092,0.369583870788216
"x_00256",0.399565,-5.45226,-16.0493,0.00648760175630158,-0.626577147553315,-0.457355903463895
"x_00257",-2.80765,6.78312,7.79683,-0.0679696189723877,-0.342526221949827,0.0962448264326102
"x_00258",-1.74856,0.592202,-15.6882,-0.0433822751549176,-0.486251712145905,-0.448972772802206
"x_00259",-12.3365,-1.05059,-15.6848,-0.289186995338042,-0.524390011747062,-0.448893839974042
"x_00260",-12.1727,-2.12098,-15.1717,-0.285384290263589,-0.549239691140487,-0.436981947582703
"x_00261",-5.05116,1.76449,-15.6082,-0.120053909946651,-0.459036415892428,-0.4471155297866
"x_00262",3.61965,-5.57698,-15.2165,0.0812436064551264,-0.629472589414643,-0.438022003671442
"x_00263",-8.53826,2.4042,-15.4555,-0.201008811443125,-0.444185204273516,-0.443570517180563
"x_00264",13.4622,-5.0203,6.23799,0.309743696995723,-0.616548963890553,0.0600555176520295
"x_00265",2.68008,6.39191,-15.4656,0.0594309837029708,-0.351608372451514,-0.443804994111283
"x_00266",6.33038,-6.70964,-6.80207,0.14417466095128,-0.65576790034034,-0.242676486823926
"x_00267",-1.98635,-2.53012,-15.9103,-0.0489026978634279,-0.558738096233047,-0.45412894372428
"x_00268",-5.1497,3.21056,-15.5508,-0.122341569031123,-0.425465123297721,-0.445782957922903
"x_00269",10.4315,-5.60918,0.199934,0.239384366903279,-0.630220129728425,-0.0801211990209053
"x_00270",13.2617,-4.75603,12.0598,0.305088981687862,-0.610413793743877,0.195211967160557
"x_00271",2.87022,1.76617,-15.3834,0.0638451860403112,-0.458997413789101,-0.441896676912749
"x_00272",4.43874,2.43785,-15.2432,0.10025922122578,-0.443404001430077,-0.4386418585279
"x_00273",-0.67468,-4.08466,16.17,-0.0184515735349373,-0.594827578201539,0.290632470194827
"x_00274",6.88061,6.72373,-4.45957,0.156948546257237,-0.343904992733537,-0.188294089773228
"x_00275",-7.80338,-5.67603,-11.9664,-0.183948177101773,-0.63177208842334,-0.3625691846087
"x_00276",-3.3596,5.79885,-15.5915,-0.0807834350031808,-0.365376579236952,-0.446727830307093
"x_00277",-0.873647,2.09137,-15.6074,-0.023070699423512,-0.451447720930664,-0.447096957356444
"x_00278",-15.5149,-1.9472,-0.593339,-0.362975260348048,-0.545205294999837,-0.0985374582548855
"x_00279",-5.63457,-0.254207,-15.7214,-0.133598086793331,-0.50590155219085,-0.449743528653682
"x_00280",12.6093,1.09302,-14.4453,0.289943164895599,-0.474624952988536,-0.420118181001005
